Gene.Name,Presence.,Bigg.ID.Name,essential,beta,zscore,p.value,fdr
SLC7A3,TRUE,84889_AT1,0,0.34059,2.575,0.00024886,0.0014458
SLC7A5,TRUE,8140_AT1,0,0.0021704,0.031446,0.23243,0.38782
SLC7A6,TRUE,9057_AT1,0,-0.024525,-0.31532,0.070759,0.15782
SLC7A7,TRUE,9056_AT1,0,-0.012149,-0.10749,0.12501,0.24425
SLC7A8,TRUE,23428_AT1,1,-0.037108,-0.67379,0.03484,0.091205
SLC7A9,TRUE,11136_AT1,0,0.07618,0.6143,0.68984,0.80699
SLC8A1,TRUE,6546_AT1,0,0.087381,1.2956,0.54774,0.69763
SLC9A1,TRUE,6548_AT1,0,0.16961,1.501,0.067607,0.1531
SLC9A2,TRUE,6549_AT1,0,0.10079,1.6256,0.40124,0.56939
SLC9A3,TRUE,6550_AT1,0,-0.016084,-0.16686,0.10319,0.21103
SLC9A4,TRUE,389015_AT1,0,0.14305,1.8598,0.14409,0.27204
SLC9A5,TRUE,6553_AT1,0,0.10709,1.4203,0.34583,0.51153
SLC9A7,TRUE,84679_AT1,1,-0.078758,-1.4066,0.0019909,0.0084507
SLC9A8,TRUE,23315_AT1,0,0.025364,0.15211,0.50883,0.66834
SLCO1A2,TRUE,6579_AT1,0,0.086604,1.0756,0.55703,0.70241
SLCO1B1,TRUE,10599_AT1,0,-0.027062,-0.34107,0.061717,0.14294
SLCO1B3,TRUE,28234_AT1,0,0.087248,0.92754,0.54873,0.69773
SLCO1C1,TRUE,53919_AT1,0,-0.014318,-0.24633,0.1129,0.22664
SLCO2A1,TRUE,6578_AT1,1,-0.063784,-0.89509,0.0047283,0.01699
SLCO2B1,TRUE,11309_AT1,0,0.065498,0.77575,0.84255,0.90325
SLCO3A1,TRUE,28232_AT1,0,-0.01332,-0.22973,0.11804,0.23424
SLCO4A1,TRUE,28231_AT1,1,-0.1242,-1.7437,0,0
SMPD1,TRUE,6609_AT1,0,0.061395,0.73049,0.90734,0.94534
SMPD2,TRUE,6610_AT1,1,-0.048356,-0.54945,0.015927,0.048241
SMPD3,TRUE,55512_AT1,1,-0.047492,-0.43646,0.016674,0.050062
SMPD4,TRUE,55627_AT1,1,-0.05867,-1.1152,0.0073828,0.02532
SMS,TRUE,6611_AT1,1,-0.21261,-3.2008,0,0
SOAT1,TRUE,6646_AT1,0,0.11138,1.3952,0.31323,0.47617
SOAT2,TRUE,8435_AT1,0,0.018825,0.2662,0.41717,0.58579
SOD1,TRUE,6647_AT1,1,-0.071498,-0.53276,0.0029034,0.011457
SOD2,TRUE,6648_AT1,1,-0.35457,-4.0473,0,0
SOD3,TRUE,6649_AT1,0,-0.01953,-0.33034,0.088511,0.18703
SORD,TRUE,6652_AT1,0,0.02348,0.37474,0.48154,0.64752
SPHK1,TRUE,8877_AT1,0,0.026659,0.24667,0.53032,0.68594
SPHK2,TRUE,56848_AT1,0,0.010854,0.13048,0.31904,0.48226
SPR,TRUE,6697_AT1,0,0.020316,0.24122,0.43799,0.60655
SPTLC1,TRUE,10558_AT1,1,-0.08346,-1.0966,0.0015761,0.0071834
SPTLC2,TRUE,9517_AT1,1,-0.14731,-2.2728,0,0
SPTLC3,TRUE,55304_AT1,0,0.005548,0.105,0.26512,0.42583
SQLE,TRUE,6713_AT1,1,-0.14803,-1.6296,0,0
SRD5A1,TRUE,6715_AT1,0,0.037627,0.5716,0.70137,0.81327
SRM,TRUE,6723_AT1,1,-0.045003,-0.24182,0.020075,0.058313
STS,TRUE,412_AT1,0,0.021934,0.42244,0.46064,0.62924
SUCLA2,TRUE,8803_AT1,0,0.021077,0.31583,0.4482,0.61643
SUCLG1,TRUE,8802_AT1,1,-0.098777,-1.6175,0.00091248,0.0047009
SUCLG2,TRUE,8801_AT1,0,0.051499,0.49693,0.92559,0.95408
SULT1A1,TRUE,6817_AT1,1,-0.16497,-2.3101,0,0
SULT1B1,TRUE,27284_AT1,0,0.19529,1.6543,0.031605,0.084479
SULT1E1,TRUE,6783_AT1,0,0.027877,0.40168,0.55015,0.69774
SULT2A1,TRUE,6822_AT1,0,-0.021362,-0.31878,0.081875,0.17594
SUOX,TRUE,6821_AT1,0,-0.028393,-0.53557,0.057818,0.1364
SYNJ1,TRUE,8867_AT1,0,0.077195,0.67976,0.6769,0.79688
SYNJ2,TRUE,8871_AT1,0,0.064572,0.40671,0.85533,0.91205
TALDO1,TRUE,6888_AT1,1,-0.039831,-0.65949,0.029863,0.081356
TAT,TRUE,6898_AT1,0,0.03099,0.45829,0.59983,0.73937
TBXAS1,TRUE,6916_AT1,0,0.16004,1.3139,0.092327,0.19323
TCIRG1,TRUE,10312_AT1,0,0.089645,1.0814,0.51937,0.67686
TDO2,TRUE,6999_AT1,0,0.042735,0.6852,0.78225,0.86673
TECR,TRUE,9524_AT1,0,-0.032213,-0.37982,0.046371,0.1149
TH,TRUE,7054_AT1,0,0.094728,0.78537,0.46139,0.6299
THNSL1,TRUE,79896_AT1,0,0.079173,0.89709,0.65334,0.77903
TK1,TRUE,7083_AT1,0,0.044163,0.56959,0.80639,0.88655
TK2,TRUE,7084_AT1,1,-0.086021,-1.1935,0.0013273,0.0062016
TKT,TRUE,7086_AT1,1,-0.10797,-1.3934,0.00033181,0.0018913
TKTL1,TRUE,8277_AT1,0,0.042655,0.41395,0.78142,0.86621
TKTL2,TRUE,84076_AT1,0,0.084777,1.0138,0.58225,0.72473
TM7SF2,TRUE,7108_AT1,0,0.12246,0.90231,0.24305,0.40068
TMLHE,TRUE,55217_AT1,1,-0.084922,-1.4963,0.0014932,0.0068702
TPH2,TRUE,121278_AT1,1,-0.057262,-0.57583,0.0083783,0.028331
TPI1,TRUE,7167_AT1,1,-0.44628,-4.6711,0,0
TPK1,TRUE,27010_AT1,0,-0.013497,-0.20011,0.11763,0.23377
TPO,TRUE,7173_AT1,0,-0.0033155,-0.045496,0.18805,0.3361
TPTE2,TRUE,93492_AT1,1,-0.049196,-0.6402,0.015263,0.046939
TST,TRUE,7263_AT1,0,0.0091254,0.15756,0.3017,0.46547
TSTA3,TRUE,7264_AT1,1,-0.20382,-3.239,0,0
TXNRD1,TRUE,7296_AT1,0,0.049414,0.66359,0.89117,0.93249
